Casserres;2192.284;17;367.442;9;2559.726;8246.331;82
Castellar de la Ribera;0.000;0;0.000;0;0.000;320.632;2
Castellar del Riu;0.000;0;0.000;0;0.000;493.011;1
Castellar del Vallès;2470.550;49;238.595;2;2709.145;105042.910;559
Castellar de n'Hug;976.744;4;1201.178;15;2177.922;3485.751;30
Castellbell i el Vilar;34.981;1;0.000;0;34.981;33123.997;151
Castellbisbal;707.458;18;0.000;0;707.458;79351.040;351
Castellcir;57.428;1;0.000;0;57.428;12335.940;51
Castelldans;864.089;13;0.000;0;864.089;5456.163;48
Castelldefels;1757.398;61;0.000;0;1757.398;138934.379;815
Castell de l'Areny;0.000;0;0.000;0;0.000;735.330;4
Castell de Mur;663.888;12;0.000;0;663.888;1987.733;41
Castellet i la Gornal;53.806;1;0.000;0;53.806;38514.862;187
Castellfollit de la Roca;416.853;8;0.000;0;416.853;2266.625;22
Castellfollit del Boix;0.000;0;0.000;0;0.000;1397.537;15
Castellfollit de Riubregós;0.000;0;143.403;10;143.403;1395.031;22
Castellgalí;1384.107;11;0.000;0;1384.107;21666.325;112
Castellnou de Bages;3790.983;28;0.000;0;3790.983;18139.055;64
Castellnou de Seana;851.512;16;0.000;0;851.512;5140.952;41
Castelló de Farfanya;2721.746;27;0.000;0;2721.746;6440.134;69
Castelló d'Empúries;0.000;0;0.000;0;0.000;85194.033;535
Castellolí;6.696;1;0.000;0;6.696;4118.274;24
Castell-Platja d'Aro;1915.364;30;0.000;0;1915.364;122681.871;611
Castellserà;43.009;1;0.000;0;43.009;8168.480;63
Castellterçol;497.229;11;0.000;0;497.229;16851.096;140
Castellvell del Camp;1074.862;7;0.000;0;1074.862;25893.578;112
Castellví de la Marca;17.328;1;0.000;0;17.328;6989.642;53
Castellví de Rosanes;0.000;0;0.000;0;0.000;20278.454;67
Cava;0.000;0;0.000;0;0.000;1760.293;23
Celrà;686.144;8;67.623;1;753.767;33893.658;158
Centelles;4422.499;76;0.000;0;4422.499;32371.625;225
Cercs;3840.366;41;67.740;1;3908.106;10263.108;71
Cerdanyola del Vallès;5535.549;60;121.636;3;5657.185;115116.406;591
Cervelló;136.679;2;0.000;0;136.679;63112.422;261
Cervera;9305.302;102;492.361;6;9797.663;49722.550;403
Cervià de les Garrigues;335.263;7;0.000;0;335.263;4906.272;38
Cervià de Ter;227.713;8;0.000;0;227.713;7071.553;60
Cistella;0.000;0;0.000;0;0.000;3220.228;21
Ciutadilla;381.007;8;0.000;0;381.007;2265.714;28
Clariana de Cardener;0.000;0;0.000;0;0.000;293.399;3
Colera;0.000;0;0.000;0;0.000;9143.606;58
Collbató;2528.077;31;0.000;0;2528.077;44884.252;222
Colldejou;833.213;15;0.000;0;833.213;1772.675;29
Coll de Nargó;1853.326;21;782.946;12;2636.272;5291.877;55
Collsuspina;354.015;5;0.000;0;354.015;5188.840;30
Colomers;0.000;0;27.763;1;27.763;3141.022;40
Conca de Dalt;1821.090;26;0.000;0;1821.090;5794.125;61
Conesa;0.000;0;0.000;0;0.000;1813.593;26
Constantí;5827.230;50;76.414;1;5903.644;43547.527;190
Copons;0.000;0;0.000;0;0.000;1492.634;20
Corbera d'Ebre;1142.166;12;0.000;0;1142.166;9303.978;71
Corbera de Llobregat;565.457;11;0.000;0;565.457;132837.646;486
Corbins;165.120;3;146.854;3;311.973;8232.237;70
Corçà;0.000;0;0.000;0;0.000;10778.597;92
Cornellà de Llobregat;978.819;21;182.322;2;1161.141;83705.294;548
Cornellà del Terri;559.087;5;721.019;10;1280.106;16476.979;154
Cornudella de Montsant;3044.268;39;0.000;0;3044.268;6838.349;71
Creixell;2960.910;53;48.923;1;3009.833;48166.554;300
Crespià;52.609;1;29.986;1;82.595;2588.972;41
Cruïlles; Monells i Sant Sadurní de l'Heura;93.199;1;0.000;0;93.199;9595.871;72
Cubelles;453.194;14;0.000;0;453.194;82821.809;433
Cubells;2639.930;44;0.000;0;2639.930;7151.453;77
Cunit;0.000;0;0.000;0;0.000;100621.864;458
Darnius;0.000;0;0.000;0;0.000;4165.287;28
Das;4338.526;19;0.000;0;4338.526;10354.884;40
Deltebre;56.135;1;0.000;0;56.135;81740.881;297
Dosrius;7311.202;26;107.744;1;7418.945;55335.490;179
Duesaigües;986.615;14;0.000;0;986.615;2505.103;28
