Canet d'Adri;165,4985225882;1;0;0;165,4985225882
Canet de Mar;5462,9098555754;75;6,901635729;1;5469,8114913044
Canovelles;4874,45540661;37;579,1213859236;6;5453,5767925336
Cànoves i Samalús;11472,1935515618;59;0;0;11472,1935515618
Cantallops;0;0;0;0;0
Canyelles;0;0;0;0;0
Capafonts;1581,897541871;20;0;0;1581,897541871
Capçanes;2618,3338927334;16;0;0;2618,3338927334
Capellades;54,9328348615;1;0;0;54,9328348615
Capmany;0;0;0;0;0
Capolat;80,1583794254;1;0;0;80,1583794254
Cardedeu;6472,2534488874;61;0;0;6472,2534488874
Cardona;10202,6021931857;59;761,4690586731;14;10964,0712518588
Carme;0;0;0;0;0
Caseres;895,6474723003;12;0;0;895,6474723003
Cassà de la Selva;2772,2824522007;11;0;0;2772,2824522007
Casserres;2191,8687617376;17;367,442105476;9;2559,3108672136
Castellar de la Ribera;320,6322198784;2;0;0;320,6322198784
Castellar del Riu;1572,8267580902;9;0;0;1572,8267580902
Castellar del Vallès;36169,8884671733;146;481,5163662616;4;36651,4048334349
Castellar de n'Hug;976,7437702023;4;2601,6384643699;19;3578,3822345722
Castellbell i el Vilar;19798,0729366633;107;0;0;19798,0729366633
Castellbisbal;8052,9199566425;58;21,7386076858;1;8074,6585643283
Castellcir;390,9146605433;2;0;0;390,9146605433
Castelldans;3594,0053256794;27;0;0;3594,0053256794
Castelldefels;1587,2877109889;29;0;0;1587,2877109889
Castell de l'Areny;798,6925420916;3;0;0;798,6925420916
Castell de Mur;663,8877619028;12;0;0;663,8877619028
Castellet i la Gornal;53,8063067295;1;0;0;53,8063067295
Castellfollit de la Roca;883,2939220488;10;198,5170607401;1;1081,8109827889
Castellfollit del Boix;0;0;0;0;0
Castellfollit de Riubregós;0;0;97,1165952797;5;97,1165952797
Castellgalí;7100,4554991687;61;0;0;7100,4554991687
Castellnou de Bages;3621,0863365023;27;0;0;3621,0863365023
Castellnou de Seana;851,5120879323;16;0;0;851,5120879323
Castelló de Farfanya;4685,3632700404;39;0;0;4685,3632700404
Castelló d'Empúries;1528,0710583969;34;0;0;1528,0710583969
Castellolí;6,6959086985;1;0;0;6,6959086985
Castell-Platja d'Aro;2592,0160591229;31;0;0;2592,0160591229
Castellserà;6559,1673739784;42;0;0;6559,1673739784
Castellterçol;887,5134877425;19;0;0;887,5134877425
Castellvell del Camp;1074,8620070885;7;0;0;1074,8620070885
Castellví de la Marca;17,3276761084;1;0;0;17,3276761084
Castellví de Rosanes;7902,7663462291;15;0;0;7902,7663462291
Cava;1816,1182892433;21;0;0;1816,1182892433
Celrà;524,2849925354;7;0;0;524,2849925354
Centelles;4533,2260447522;78;0;0;4533,2260447522
Cercs;3744,4168496077;38;67,7397906894;1;3812,1566402971
Cerdanyola del Vallès;10066,924585176;83;118,9991300242;3;10185,9237152002
Cervelló;2044,2607266178;17;0;0;2044,2607266178
Cervera;10460,9933291885;114;492,3606310173;6;10953,3539602058
Cervià de les Garrigues;335,2634876374;7;0;0;335,2634876374
Cervià de Ter;227,712562157;8;0;0;227,712562157
Cistella;0;0;0;0;0
Ciutadilla;452,6741853894;8;0;0;452,6741853894
Clariana de Cardener;293,3994454361;3;0;0;293,3994454361
Colera;0;0;0;0;0
Collbató;9708,7804995966;72;228,4818129477;2;9937,2623125443
Colldejou;1351,6922228618;22;0;0;1351,6922228618
Coll de Nargó;1853,3257675518;21;782,9458622706;12;2636,2716298225
Collsuspina;354,0147111786;5;0;0;354,0147111786
Colomers;0;0;27,7633718474;1;27,7633718474
Conca de Dalt;4166,194340579;39;905,1951224842;8;5071,3894630632
Conesa;1749,4183402048;26;0;0;1749,4183402048
Constantí;6821,6775059874;56;76,4137014325;1;6898,0912074199
Copons;0;0;0;0;0
Corbera d'Ebre;1886,8055107813;22;0;0;1886,8055107813
Corbera de Llobregat;128,4174609762;5;0;0;128,4174609762
Corbins;1353,8386324881;19;0;0;1353,8386324881
Corçà;4356,985232209;26;603,4288953978;8;4960,4141276068
Cornellà de Llobregat;890,0765498806;13;0;0;890,0765498806
Cornellà del Terri;559,7516571725;5;563,6528885839;7;1123,4045457564
Cornudella de Montsant;3051,4165149503;39;0;0;3051,4165149503
Creixell;4802,39431439;60;48,9228763552;1;4851,3171907453
Crespià;52,6087720854;1;29,9859877381;1;82,5947598235
Cruïlles, Monells i Sant Sadurní de l'Heura;2308,8704637958;20;1817,7894590911;19;4126,6599228869
Cubelles;233,1100212476;6;0;0;233,1100212476
Cubells;2690,0274000954;42;0;0;2690,0274000954
Cunit;0;0;0;0;0
Darnius;0;0;0;0;0
Das;6591,1350153582;24;0;0;6591,1350153582
Deltebre;10294,8449283553;92;0;0;10294,8449283553
Dosrius;16622,9019913533;77;107,7437059599;1;16730,6456973132
Duesaigües;2024,847824908;24;0;0;2024,847824908
el Bruc;1643,4094648858;1;0;0;1643,4094648858
el Brull;450,0378732827;3;0;0;450,0378732827
el Catllar;12263,182499968;78;0;0;12263,182499968
el Cogul;1423,9358446229;17;0;0;1423,9358446229
el Far d'Empordà;0;0;0;0;0
el Lloar;1497,7326172626;9;0;0;1497,7326172626
el Masnou;1555,1114808528;13;71,8473923306;1;1626,9588731834
el Masroig;403,509414239;13;0;0;403,509414239
el Milà;0;0;0;0;0
el Molar;238,4887438873;7;0;0;238,4887438873
el Montmell;0;0;0;0;0
el Morell;2491,0196856689;19;0;0;2491,0196856689
el Palau d'Anglesola;4229,0346549054;57;0;0;4229,0346549054
el Papiol;2420,9029978997;26;0;0;2420,9029978997
el Perelló;5561,5219236495;44;184,5963049286;2;5746,1182285781
el Pinell de Brai;4174,1399247183;54;0;0;4174,1399247183
el Pla del Penedès;0;0;0;0;0
el Pla de Santa Maria;11169,7431791496;44;40,8192023283;1;11210,5623814779
el Poal;1179,2645917862;14;0;0;1179,2645917862
el Pont d'Armentera;2923,9279274651;20;0;0;2923,9279274651
el Pont de Bar;0;0;0;0;0
el Pont de Suert;8977,3137296432;70;608,8076788977;7;9586,1214085409
el Pont de Vilomara i Rocafort;7419,5546776933;62;65,9111446701;3;7485,4658223634
el Port de la Selva;673,5802706224;6;0;0;673,5802706224
el Prat de Llobregat;357,7989664208;12;0;0;357,7989664208
el Rourell;1210,2197240273;9;0;0;1210,2197240273
els Alamús;1175,3769974968;8;0;0;1175,3769974968
els Garidells;3718,6613241829;20;0;0;3718,6613241829
els Guiamets;467,9810600314;5;0;0;467,9810600314
els Hostalets de Pierola;357,1619856738;3;0;0;357,1619856738
el Soleràs;198,9632945122;4;0;0;198,9632945122
els Omellons;349,7997106006;3;0;0;349,7997106006
els Omells de na Gaia;485,4539855029;7;0;0;485,4539855029
els Pallaresos;7454,5298164334;66;0;0;7454,5298164334
