Codi	Poblacio	Residential No Name(m)	Num Residential No Name	Living Street No Name(m)	Num Living Street No Name	Total No Name(m)	Total(Residential + Living street)	Perc280616
259097	la Vansa i Fórnols	2.525,909	28	763,097	8	3.289,007	3.289,007	1,00
431732	la Vilella Alta	2.305,317	21	0,000	0	2.305,317	2.429,386	0,95
431747	la Vilella Baixa	1.339,084	11	0,000	0	1.339,084	3.371,494	0,40
250061	l'Albagés	1.204,712	12	0,000	0	1.204,712	3.395,697	0,35
250096	l'Albi	258,845	7	697,007	12	955,852	8.096,800	0,12
430038	l'Albiol	1.520,177	5	0,000	0	1.520,177	8.282,139	0,18
439044	l'Aldea	13.095,515	47	0,000	0	13.095,515	31.287,299	0,42
430075	l'Aleixar	4.561,744	23	96,519	3	4.658,264	6.610,471	0,70
430136	l'Ametlla de Mar	25.510,513	237	82,998	1	25.593,511	116.103,453	0,22
1080057	l'Ametlla del Vallès	34.235,846	132	243,114	3	34.478,960	82.674,915	0,42
439060	l'Ampolla	8.271,657	91	0,000	0	8.271,657	34.137,447	0,24
430167	l'Arboç	140,510	4	0,000	0	140,510	19.810,970	0,01
430173	l'Argentera	312,232	8	0,000	0	312,232	1.420,784	0,22
170118	l'Armentera	945,102	19	0,000	0	945,102	11.103,827	0,09
251214	Les	3.531,304	34	185,365	2	3.716,669	7.162,373	0,52
250371	les Avellanes i Santa Linya	1.909,870	37	346,176	8	2.256,046	7.357,889	0,31
250582	les Borges Blanques	3.538,836	24	0,000	0	3.538,836	23.379,528	0,15
430311	les Borges del Camp	15.528,107	63	0,000	0	15.528,107	16.289,239	0,95
1080272	les Cabanyes	0,000	0	0,000	0	0,000	6.699,974	0,00
1080863	les Franqueses del Vallès	9.121,056	60	0,000	0	9.121,056	69.664,854	0,13
170963	les Llosses	578,351	5	0,000	0	578,351	716,575	0,81
1081167	les Masies de Roda	2.743,811	12	0,000	0	2.743,811	8.810,048	0,31
1081173	les Masies de Voltregà	9.387,759	65	128,415	1	9.516,173	25.562,783	0,37
251522	les Oluges	1.542,350	28	269,276	1	1.811,626	4.467,782	0,41
431055	les Piles	619,033	12	0,000	0	619,033	2.847,767	0,22
171334	les Planes d'Hostoles	6,690	1	1.209,675	1	1.216,364	9.664,531	0,13
171390	les Preses	2.688,448	26	0,000	0	2.688,448	13.655,233	0,20
259062	les Valls d'Aguilar	1.756,002	17	2.268,689	23	4.024,691	4.172,656	0,96
252398	les Valls de Valira	4.503,939	41	2.283,788	24	6.787,727	8.702,448	0,78
170622	l'Escala	1.584,249	27	0,000	0	1.584,249	122.776,537	0,01
250812	l'Espluga Calba	869,912	16	0,000	0	869,912	3.397,329	0,26
430542	l'Espluga de Francolí	2.393,937	30	0,000	0	2.393,937	16.699,854	0,14
1080787	l'Espunyola	0,000	0	0,000	0	0,000	1.261,292	0,00
1082541	l'Esquirol	5.045,545	43	0,000	0	5.045,545	18.533,650	0,27
1080790	l'Estany	1.583,493	12	218,795	2	1.802,288	4.781,597	0,38
1081017	l'Hospitalet de Llobregat	1.305,405	14	0,000	0	1.305,405	145.881,244	0,01
251229	Linyola	1.972,719	30	0,000	0	1.972,719	17.265,544	0,11
170887	Lladó	0,000	0	0,000	0	0,000	6.552,954	0,00
251235	Lladorre	1.034,209	18	1.403,245	19	2.437,453	2.539,759	0,96
251240	Lladurs	1.396,497	5	0,000	0	1.396,497	1.696,432	0,82
170890	Llagostera	5.368,229	42	0,000	0	5.368,229	50.696,997	0,11
170904	Llambilles	746,701	10	0,000	0	746,701	4.617,501	0,16
170911	Llanars	2.218,812	20	0,000	0	2.218,812	4.201,227	0,53
170926	Llançà	1.630,160	28	134,443	1	1.764,602	51.802,623	0,03
251253	Llardecans	5.513,584	23	0,000	0	5.513,584	6.025,298	0,92
251266	Llavorsí	1.396,432	11	81,561	1	1.477,993	1.990,929	0,74
251207	Lleida	44.626,185	329	583,135	7	45.209,320	239.158,825	0,19
170932	Llers	284,699	5	0,000	0	284,699	10.485,438	0,03
251272	Lles de Cerdanya	716,468	11	0,000	0	716,468	3.018,502	0,24
1081075	Lliçà d'Amunt	1.415,217	22	0,000	0	1.415,217	114.916,489	0,01
1081081	Lliçà de Vall	9.668,530	50	0,000	0	9.668,530	70.264,694	0,14
251288	Llimiana	0,000	0	1.522,493	18	1.522,493	1.637,649	0,93
1081069	Llinars del Vallès	10.340,726	44	6.079,494	10	16.420,220	66.084,198	0,25
251291	Llobera	881,162	2	0,000	0	881,162	881,162	1,00
430733	Llorac	1.570,101	28	0,000	0	1.570,101	2.994,533	0,52
430748	Llorenç del Penedès	217,075	2	0,000	0	217,075	21.170,228	0,01
170950	Lloret de Mar	32.919,943	269	0,000	0	32.919,943	262.894,661	0,13
1081094	Lluçà	327,060	3	0,000	0	327,060	1.311,418	0,25
171024	Maçanet de Cabrenys	20,631	2	0,000	0	20,631	9.953,683	0,00
171030	Maçanet de la Selva	9.897,032	46	0,000	0	9.897,032	88.154,087	0,11
170979	Madremanya	1.212,081	5	371,890	6	1.583,971	3.644,821	0,43
170985	Maià de Montcal	0,000	0	0,000	0	0,000	4.646,232	0,00
251333	Maials	5.398,083	46	0,000	0	5.398,083	7.910,796	0,68
251305	Maldà	850,411	11	0,000	0	850,411	2.008,868	0,42
1081108	Malgrat de Mar	2.365,096	25	340,582	5	2.705,678	42.631,711	0,06
1081115	Malla	1.106,371	4	0,000	0	1.106,371	2.792,354	0,40
1081120	Manlleu	6.774,445	56	540,092	8	7.314,537	52.775,771	0,14
1081136	Manresa	22.231,061	290	1.230,140	29	23.461,201	116.318,701	0,20
430764	Marçà	2.650,467	24	286,449	5	2.936,917	3.046,904	0,96
430751	Margalef	1.845,957	18	0,000	0	1.845,957	1.940,412	0,95
1082423	Marganell	4.029,225	7	0,000	0	4.029,225	13.904,051	0,29
1081141	Martorell	12.664,838	108	259,025	3	12.923,862	44.545,616	0,29
1081154	Martorelles	2.742,184	42	0,000	0	2.742,184	27.733,709	0,10
430770	Mas de Barberans	831,639	14	0,000	0	831,639	4.532,799	0,18
171002	Masarac	0,000	0	0,000	0	0,000	4.317,570	0,00
430786	Masdenverge	296,845	10	0,000	0	296,845	5.931,254	0,05
430799	Masllorenç	0,000	0	0,000	0	0,000	9.305,629	0,00
430810	Maspujols	4.263,214	22	0,000	0	4.263,214	5.570,710	0,77
1081192	Masquefa	1.015,487	12	0,000	0	1.015,487	54.469,116	0,02
251312	Massalcoreig	2.395,273	31	0,000	0	2.395,273	3.988,305	0,60
171019	Massanes	1.976,262	4	0,000	0	1.976,262	12.519,688	0,16
251327	Massoteres	438,015	8	0,000	0	438,015	2.103,541	0,21
1081206	Matadepera	4.132,669	72	0,000	0	4.132,669	93.203,375	0,04
1081213	Mataró	18.721,255	146	133,371	2	18.854,625	166.646,159	0,11
	Medinyà	1.141,585	7	0,000	0	1.141,585	6.427,329	0,18
1081228	Mediona	0,000	0	0,000	0	0,000	40.031,490	0,00
251348	Menàrguens	3.257,681	28	0,000	0	3.257,681	8.156,331	0,40
170998	Meranges	835,404	11	0,000	0	835,404	2.508,588	0,33
171058	Mieres	0,000	0	37,598	1	37,598	2.275,207	0,02
251351	Miralcamp	7.487,701	41	0,000	0	7.487,701	19.034,274	0,39
430846	Miravet	3.311,498	24	0,000	0	3.311,498	4.523,109	0,73
1081385	Moià	3.764,653	34	81,705	1	3.846,358	36.768,551	0,10
1081234	Molins de Rei	365,789	5	0,000	0	365,789	51.125,196	0,01
251370	Mollerussa	17.527,132	108	0,000	0	17.527,132	52.452,465	0,33
171061	Mollet de Peralada	0,000	0	0,000	0	0,000	1.305,570	0,00
1081249	Mollet del Vallès	7.025,812	77	1.800,407	17	8.826,219	74.419,935	0,12
171077	Molló	877,001	9	0,000	0	877,001	7.793,409	0,11
1081287	Monistrol de Calders	1.335,026	23	0,000	0	1.335,026	16.172,740	0,08
1081271	Monistrol de Montserrat	6.068,213	55	0,000	0	6.068,213	12.501,973	0,49
171096	Montagut i Oix	838,586	5	434,128	6	1.272,714	4.895,809	0,26
430862	Montblanc	5.381,026	48	194,334	6	5.575,359	34.724,789	0,16
430884	Montbrió del Camp	8.518,737	46	0,000	0	8.518,737	12.174,810	0,70
1081252	Montcada i Reixac	14.140,673	123	159,858	4	14.300,532	72.505,888	0,20
1081304	Montclar	0,000	0	0,000	0	0,000	0,000	1,00
251399	Montellà i Martinet	5.140,586	57	0,000	0	5.140,586	7.078,688	0,73
1081311	Montesquiu	4.076,337	13	0,000	0	4.076,337	8.119,706	0,50
251403	Montferrer i Castellbò	13.661,619	70	0,000	0	13.661,619	16.262,486	0,84
430897	Montferri	5.524,316	13	0,000	0	5.524,316	6.031,607	0,92
251386	Montgai	2.413,687	30	0,000	0	2.413,687	6.247,619	0,39
1081265	Montgat	3.152,236	37	582,710	3	3.734,946	27.088,463	0,14
1081326	Montmajor	1.734,650	10	0,000	0	1.734,650	3.171,176	0,55
1081332	Montmaneu	3.755,030	18	0,000	0	3.755,030	3.755,030	1,00
1081350	Montmeló	7.623,700	41	0,000	0	7.623,700	29.860,334	0,26
251425	Montoliu de Lleida	5.949,060	27	0,000	0	5.949,060	6.380,282	0,93
251410	Montoliu de Segarra	1.458,996	31	0,000	0	1.458,996	3.876,983	0,38
251431	Montornès de Segarra	836,832	11	0,000	0	836,832	2.213,197	0,38
1081363	Montornès del Vallès	21.680,384	141	253,994	2	21.934,378	52.091,461	0,42
430918	Mont-ral	4.325,614	26	0,000	0	4.325,614	4.325,614	1,00
171100	Mont-ras	6.392,506	58	0,000	0	6.392,506	17.849,553	0,36
430923	Mont-roig del Camp	48.064,961	241	417,795	3	48.482,755	150.068,243	0,32
1081379	Montseny	966,939	4	0,000	0	966,939	1.370,875	0,71
430939	Móra d'Ebre	11.712,964	105	78,600	1	11.791,564	27.473,079	0,43
430944	Móra la Nova	3.619,502	26	0,000	0	3.619,502	14.621,596	0,25
1081290	Muntanyola	263,486	4	0,000	0	263,486	12.964,504	0,02
1081398	Mura	1.529,215	18	79,960	2	1.609,175	4.500,555	0,36
251459	Nalec	315,646	7	0,000	0	315,646	1.761,867	0,18
250254	Naut Aran	13.917,283	116	1.583,302	31	15.500,585	20.828,092	0,74
1081402	Navarcles	4.398,020	47	0,000	0	4.398,020	26.812,821	0,16
1081419	Navàs	5.798,467	56	175,080	1	5.973,547	23.377,080	0,26
171117	Navata	437,817	4	0,000	0	437,817	13.645,815	0,03
251462	Navès	804,395	7	0,000	0	804,395	2.073,822	0,39
430982	Nulles	393,161	5	33,956	1	427,117	3.869,922	0,11
251484	Odèn	1.911,380	4	0,000	0	1.911,380	1.911,380	1,00
1081430	Òdena	6.792,402	50	0,000	0	6.792,402	22.561,742	0,30
171122	Ogassa	1.951,544	10	0,000	0	1.951,544	2.183,857	0,89
1081458	Olèrdola	183,547	2	0,000	0	183,547	40.612,552	0,00
1081461	Olesa de Bonesvalls	0,000	0	0,000	0	0,000	31.490,669	0,00
1081477	Olesa de Montserrat	15.511,452	76	0,000	0	15.511,452	44.519,030	0,35
251497	Oliana	8.215,030	80	0,000	0	8.215,030	14.765,395	0,56
251500	Oliola	2.345,313	26	0,000	0	2.345,313	3.406,728	0,69
251517	Olius	2.727,619	30	0,000	0	2.727,619	13.347,157	0,20
1081483	Olivella	0,000	0	0,000	0	0,000	72.356,541	0,00
1081496	Olost	3.890,919	33	74,669	1	3.965,587	9.872,552	0,40
171143	Olot	13.493,108	147	127,959	1	13.621,067	116.315,986	0,12
1081445	Olvan	3.547,755	32	0,000	0	3.547,755	4.239,840	0,84
171156	Ordis	291,945	4	96,961	3	388,906	2.348,035	0,17
251556	Organyà	3.130,895	39	0,000	0	3.130,895	6.671,460	0,47
1081509	Orís	737,544	7	0,000	0	737,544	1.348,575	0,55
1081516	Oristà	3.132,392	22	0,000	0	3.132,392	5.741,739	0,55
1081521	Orpí	219,662	5	0,000	0	219,662	1.349,383	0,16
1081537	Òrrius	1.457,858	11	29,903	1	1.487,762	5.833,177	0,26
251569	Os de Balaguer	5.600,886	43	0,000	0	5.600,886	10.964,439	0,51
171169	Osor	956,017	4	0,000	0	956,017	3.496,170	0,27
251575	Ossó de Sió	2.147,510	44	0,000	0	2.147,510	4.383,455	0,49
1081542	Pacs del Penedès	0,000	0	0,000	0	0,000	4.699,799	0,00
1081555	Palafolls	10.800,548	52	0,000	0	10.800,548	39.561,082	0,27
171175	Palafrugell	23.115,939	220	945,379	8	24.061,318	108.371,926	0,22
171181	Palamós	716,832	10	0,000	0	716,832	63.564,042	0,01
171194	Palau de Santa Eulàlia	358,276	2	575,808	11	934,084	1.190,994	0,78
171215	Palau-sator	2.166,804	20	87,784	1	2.254,588	3.211,273	0,70
171208	Palau-saverdera	894,402	8	845,570	11	1.739,972	18.566,764	0,09
1081568	Palau-solità i Plegamans	5.592,899	65	0,000	0	5.592,899	101.547,118	0,06
1081574	Pallejà	8.760,817	98	273,108	3	9.033,925	43.966,822	0,21
171236	Palol de Revardit	3.263,504	22	89,586	1	3.353,090	8.255,143	0,41
171241	Pals	34.918,863	168	243,584	3	35.162,448	42.322,754	0,83
171254	Pardines	1.346,781	19	0,000	0	1.346,781	1.346,781	1,00
1081593	Parets del Vallès	8.622,227	61	0,000	0	8.622,227	64.605,588	0,13
171267	Parlavà	1.801,298	18	1.697,231	15	3.498,529	5.389,760	0,65
431016	Passanant i Belltall	1.285,755	31	0,000	0	1.285,755	1.346,418	0,95
171289	Pau	32,166	1	0,000	0	32,166	7.545,329	0,00
431021	Paüls	470,458	16	0,000	0	470,458	4.108,089	0,11
171292	Pedret i Marzà	0,000	0	0,000	0	0,000	2.360,783	0,00
251641	Penelles	1.283,994	21	0,000	0	1.283,994	3.288,226	0,39
1081607	Perafita	1.357,077	14	0,000	0	1.357,077	4.362,362	0,31
431037	Perafort	3.953,486	16	0,000	0	3.953,486	15.249,888	0,26
171328	Peralada	0,000	0	0,000	0	0,000	18.817,064	0,00
251654	Peramola	1.909,871	29	125,877	2	2.035,748	2.527,230	0,81
1081614	Piera	4.260,477	43	262,930	4	4.523,407	139.971,910	0,03
1081635	Pineda de Mar	32.972,769	207	16,703	1	32.989,472	82.040,357	0,40
251667	Pinell de Solsonès	376,021	5	0,000	0	376,021	543,161	0,69
251673	Pinós	1.700,969	21	0,000	0	1.700,969	2.035,560	0,84
431074	Pira	5.260,681	38	0,000	0	5.260,681	5.260,681	1,00
171349	Planoles	731,167	6	0,000	0	731,167	5.470,955	0,13
431129	Poboleda	3.499,081	33	0,000	0	3.499,081	4.027,766	0,87
1081672	Polinyà	2.076,678	16	227,528	2	2.304,206	29.124,851	0,08
171352	Pont de Molins	3.741,546	27	65,452	3	3.806,998	3.806,998	1,00
431418	Pontils	1.330,361	15	0,000	0	1.330,361	5.737,329	0,23
1081688	Pontons	199,488	1	0,000	0	199,488	8.261,513	0,02
171365	Pontós	2.103,877	14	0,000	0	2.103,877	2.103,877	1,00
251728	Ponts	1.832,211	27	0,000	0	1.832,211	13.164,220	0,14
171371	Porqueres	757,174	9	375,502	5	1.132,676	31.780,469	0,04
431140	Porrera	3.875,401	45	0,000	0	3.875,401	4.367,688	0,89
171387	Portbou	642,749	10	544,978	13	1.187,727	4.611,427	0,26
431153	Pradell de la Teixeta	1.789,158	18	0,000	0	1.789,158	1.789,158	1,00
431166	Prades	2.458,204	35	0,000	0	2.458,204	8.252,376	0,30
431172	Prat de Comte	456,540	5	0,000	0	456,540	1.908,712	0,24
431188	Pratdip	4.298,209	13	0,000	0	4.298,209	14.521,340	0,30
1081712	Prats de Lluçanès	3.502,568	32	0,000	0	3.502,568	10.753,297	0,33
251752	Prats i Sansor	2.600,899	10	0,000	0	2.600,899	12.356,208	0,21
251765	Preixana	1.226,151	14	0,000	0	1.226,151	4.166,481	0,29
251771	Preixens	1.569,738	25	0,000	0	1.569,738	4.206,006	0,37
1082303	Premià de Dalt	12.004,609	75	2.381,595	18	14.386,204	54.623,249	0,26
1081727	Premià de Mar	507,208	5	0,000	0	507,208	35.104,267	0,01
251790	Prullans	4.067,662	24	0,000	0	4.067,662	5.810,938	0,70
171411	Puigcerdà	8.605,143	80	237,388	3	8.842,532	37.030,747	0,24
1081748	Puigdàlber	0,000	0	0,000	0	0,000	4.146,487	0,00
251804	Puiggròs	687,939	8	0,000	0	687,939	2.432,420	0,28
431191	Puigpelat	13.667,359	54	0,000	0	13.667,359	13.667,359	1,00
1081751	Puig-reig	6.443,113	57	361,898	10	6.805,011	18.839,121	0,36
251811	Puigverd d'Agramunt	387,856	8	0,000	0	387,856	2.581,423	0,15
251826	Puigverd de Lleida	5.480,237	28	577,658	4	6.057,896	10.405,520	0,58
1081764	Pujalt	661,929	9	756,878	16	1.418,807	2.710,184	0,52
