Codi	Poblacio	Residential No Name(m)	Num Residential No Name	Living Street No Name(m)	Num Living Street No Name	Total No Name(m)	Total(Residential + Living street)	Perc280616
172057	Ullastret	534,284	7	2.124,116	20	2.658,400	4.020,915	0,66
431567	Ulldecona	3.157,007	20	0,000	0	3.157,007	33.982,438	0,09
431573	Ulldemolins	1.294,257	11	0,000	0	1.294,257	5.729,212	0,23
172039	Ultramort	2.176,136	19	0,000	0	2.176,136	3.488,142	0,62
172060	Urús	623,409	11	0,000	0	623,409	4.875,736	0,13
1082917	Vacarisses	32.770,897	216	0,000	0	32.770,897	89.337,595	0,37
259010	Vall de Cardós	1.475,424	11	0,000	0	1.475,424	1.475,424	1,00
1082922	Vallbona d'Anoia	2.724,741	20	30,827	1	2.755,568	9.926,190	0,28
252385	Vallbona de les Monges	798,831	6	0,000	0	798,831	3.188,848	0,25
1082938	Vallcebre	1.444,757	12	0,000	0	1.444,757	1.969,347	0,73
431589	Vallclara	897,048	9	0,000	0	897,048	897,048	1,00
252402	Vallfogona de Balaguer	5.477,110	42	0,000	0	5.477,110	16.742,728	0,33
171707	Vallfogona de Ripollès	1.490,060	7	0,000	0	1.490,060	2.738,891	0,54
431592	Vallfogona de Riucorb	1.419,989	23	0,000	0	1.419,989	2.197,835	0,65
1082943	Vallgorguina	32.060,669	85	78,397	1	32.139,066	36.357,842	0,88
1082956	Vallirana	27.027,059	100	0,000	0	27.027,059	109.876,563	0,25
172095	Vall-llobrega	62,174	2	0,000	0	62,174	15.340,110	0,00
431606	Vallmoll	11.730,922	52	0,000	0	11.730,922	13.318,816	0,88
1082969	Vallromanes	5.790,569	29	138,128	2	5.928,697	31.080,179	0,19
431613	Valls	24.723,936	143	0,000	0	24.723,936	91.828,726	0,27
431628	Vandellòs i l'Hospitalet de l'Infant	22.359,255	128	1.489,728	11	23.848,982	48.173,233	0,50
1082975	Veciana	1.744,618	14	272,521	3	2.017,139	2.017,139	1,00
172109	Ventalló	2.644,982	22	756,592	7	3.401,574	11.281,027	0,30
252424	Verdú	3.063,478	28	0,000	0	3.063,478	6.560,355	0,47
172116	Verges	202,988	3	0,000	0	202,988	6.200,048	0,03
431649	Vespella de Gaià	3.866,995	9	0,000	0	3.866,995	10.171,970	0,38
1082981	Vic	19.845,103	172	2.462,862	21	22.307,966	118.072,261	0,19
