Id;Poblacio;Total No Name(m);Total(Residential + Living street)
345224;Porqueres;2398,358772;31781,34784
345213;Porrera;3875,401415;4367,687588
345217;Portbou;1187,726528;4611,42732
345214;Pradell de la Teixeta;1789,15786;1789,15786
345211;Prades;2458,203923;8252,376106
345212;Prat de Comte;456,5397771;1908,71204
345204;Pratdip;4298,209057;14521,34012
341046;Prats de Lluçanès;3502,567543;10753,29731
342837;Prats i Sansor;2600,898925;12356,20759
342838;Preixana;1226,151455;4166,480665
342839;Preixens;1562,025549;4198,29324
341323;Premià de Dalt;18962,96356;54743,54074
341049;Premià de Mar;929,9862929;35104,26703
342829;Prullans;3835,229833;5581,097456
340546;Puigcerdà;8842,531661;37030,74691
341051;Puigdàlber;56,46397584;4146,486586
344945;Puiggròs;687,9387105;2432,420143
345205;Puigpelat;13276,81743;13276,81743
341050;Puig-reig;10077,98621;18673,8499
344944;Puigverd d'Agramunt;387,8563624;2543,946571
344947;Puigverd de Lleida;6057,895505;10405,5198
341053;Pujalt;1418,807495;2710,18387
340547;Quart;3203,346205;21421,53184
347515;Queralbs;1769,07435;2820,020236
340856;Querol;1788,837994;53472,85495
340548;Rabós;140,1499768;2531,027183
339862;Rajadell;2502,139299;5150,657427
340855;Rasquera;650,15439;5331,196468
340541;Regencós;1215,842685;3763,500891
341486;Rellinars;9372,319323;17458,51733
340854;Renau;287,9907986;1029,241914
340853;Reus;28293,72578;226021,2386
344946;Rialp;2324,644805;3858,766907
340851;Riba-roja d'Ebre;1831,769213;9558,597432
341308;Ribera d'Ondara;5229,325541;6877,112993
344942;Ribera d'Urgellet;5905,2096;7207,769187
340542;Ribes de Freser;3198,546215;6992,518059
340543;Riells i Viabrea;9641,445687;54299,36462
344943;Riner;2662,609255;3081,861671
340544;Ripoll;10366,2246;31373,28124
344203;Ripollet;6348,44246;48730,09778
345921;Riu de Cerdanya;1117,103563;1955,830251
340539;Riudarenes;1452,111784;37128,30475
340540;Riudaura;2260,406152;2522,795526
340849;Riudecanyes;3118,54834;12871,03575
340859;Riudecols;1049,884519;6079,230708
344932;Riudellots de la Selva;720,0554804;20521,48618
340858;Riudoms;6552,878657;18761,03199
344929;Riumors;2852,805127;2852,805127
345489;Rocafort de Queralt;1577,698516;2337,454577
345490;Roda de Berà;11830,08227;99158,52646
344206;Roda de Ter;3833,802915;24751,36344
345491;Rodonyà;8557,52228;14048,72072
345492;Roquetes;5386,966437;27275,34867
344928;Roses;13589,57462;113526,7087
344948;Rosselló;7411,526053;15655,68807
344200;Rubí;13570,6067;253275,5728
344201;Rubió;347,8378918;347,8378918
344927;Rupià;1206,130158;1433,966258
342961;Rupit i Pruit;966,1899115;2170,667177
344202;Sabadell;47298,67015;278575,7144
344198;Sagàs;0;226,0638608
